Associate ID,Email triggered date
101017,2021-08-06
101162,2021-08-02
101368,2021-09-08
101489,2021-06-15
101554,2021-09-08
101656,2022-03-18
101699,2021-08-10
101809,2021-02-26
102010,2021-08-23
102035,2022-04-19
102053,2021-12-28
102065,2022-03-23
102094,2021-06-15
102131,2022-04-13
102210,2021-08-04
102212,2021-09-23
102214,2021-04-12
102220,2021-12-27
102268,2022-03-03
102329,2021-09-23
102330,2021-01-15
102454,2021-06-24
102477,2022-03-24
102481,2022-03-11
102482,2022-04-21
102582,2021-08-16
102661,2022-01-13
102665,2021-04-30
102847,2021-07-07
102912,2022-04-25
102962,2021-04-30
103148,2021-06-01
103167,2021-11-12
103250,2022-04-25
103257,2021-06-24
103304,2021-10-06
103310,2022-03-10
103323,2021-08-04
103399,2021-07-28
103402,2021-04-21
103456,2021-11-15
103472,2021-04-07
103496,2021-09-29
103503,2021-10-25
103571,2022-03-10
103608,2021-06-28
103718,2021-10-13
103784,2021-05-17
104020,2021-08-25
104096,2022-03-11
104131,2022-04-21
104336,2021-05-24
104377,2021-11-03
104396,2022-01-06
104409,2021-08-18
104444,2022-01-07
104482,2022-03-31
104631,2022-04-11
104639,2021-09-24
104751,2022-03-02
104756,2021-01-18
104785,2022-04-21
104795,2021-08-31
104975,2021-03-31
105038,2022-02-11
105055,2021-01-21
105074,2021-10-21
105192,2021-08-12
105206,2021-09-13
105375,2021-04-30
105387,2022-03-21
105448,2021-03-24
105452,2021-05-20
105579,2022-01-20
105606,2021-05-24
105688,2021-05-31
105758,2022-01-04
105851,2021-01-19
105930,2021-07-28
106012,2021-05-07
106093,2021-01-19
106261,2022-04-13
106269,2021-04-07
106276,2021-06-03
106287,2021-07-22
106462,2022-03-15
106575,2022-04-25
106594,2021-06-18
106666,2021-01-18
106668,2021-03-10
106680,2021-08-19
106765,2021-06-21
106925,2022-02-16
106951,2021-03-24
107070,2021-04-29
107108,2021-12-03
107117,2021-09-29
107132,2021-11-02
107204,2021-05-31
107233,2022-02-07
107264,2022-02-04
107280,2021-01-21
107308,2021-05-07
107335,2021-07-23
107360,2021-06-01
107381,2021-08-04
107436,2021-12-06
107457,2022-04-20
107461,2021-10-22
107527,2021-12-10
107532,2022-01-31
107545,2021-08-02
107657,2021-10-05
107732,2022-03-16
107795,2021-08-12
107809,2021-07-20
107916,2021-05-26
107969,2021-06-30
108001,2021-03-24
108095,2021-05-24
108141,2022-04-22
108145,2021-07-14
108179,2021-10-25
108206,2022-03-21
108212,2021-06-10
108234,2021-12-16
108238,2021-08-09
108298,2022-01-20
108348,2021-09-23
108350,2021-10-11
108487,2021-07-05
108513,2022-03-29
108608,2021-07-27
108627,2021-11-12
108633,2021-04-29
108855,2022-03-14
108980,2021-12-01
109002,2022-02-03
109005,2022-04-13
109049,2021-01-19
109090,2021-04-28
109138,2022-03-31
109230,2021-11-10
109264,2021-10-14
109523,2021-08-09
109526,2021-05-12
109581,2022-03-03
109604,2021-09-24
109665,2021-12-15
109710,2021-08-23
109888,2021-04-16
109890,2021-09-29
109892,2021-04-15
109952,2021-01-22
109972,2022-01-11
109994,2021-03-29
110048,2022-03-15
110065,2021-09-27
110145,2021-06-28
110319,2021-09-29
110458,2021-10-27
110471,2022-01-05
110531,2021-09-09
110571,2021-03-22
110612,2021-12-22
110648,2021-07-15
110731,2021-02-19
110976,2021-04-16
111003,2021-08-06
111011,2021-04-20
111029,2021-03-25
111033,2021-08-11
111070,2022-01-04
111095,2021-03-02
111185,2021-06-10
111233,2021-09-30
111271,2021-08-06
111310,2021-04-12
111333,2021-02-25
111337,2021-07-20
111371,2021-08-10
111380,2021-04-13
111404,2021-03-18
111410,2021-04-12
111505,2021-03-10
111514,2021-04-26
111525,2021-08-10
111642,2022-02-21
111689,2021-03-02
111747,2021-05-31
111838,2021-05-19
111928,2022-01-18
111934,2021-11-30
111957,2021-10-12
112028,2021-12-29
112098,2021-07-12
112206,2021-06-08
112244,2022-04-22
112268,2022-01-05
112346,2021-05-28
112392,2022-04-20
112407,2021-09-22
112408,2021-12-13
112418,2021-08-27
112430,2022-03-24
112453,2021-03-04
112460,2021-06-18
112522,2021-05-28
112547,2022-04-08
112582,2021-07-20
112585,2022-02-10
112687,2022-02-03
112697,2021-10-13
112726,2022-01-27
112741,2021-09-14
112775,2021-07-26
112796,2021-11-17
112825,2021-04-05
112880,2021-02-02
112914,2021-08-25
112919,2021-08-06
112924,2022-03-31
112926,2022-01-07
113044,2021-11-08
113227,2022-01-17
113266,2022-03-02
113280,2022-02-07
113336,2021-05-24
113403,2021-02-23
113410,2022-01-05
113435,2021-06-16
113498,2021-08-23
113573,2022-04-21
113613,2021-06-03
113738,2021-04-15
113749,2022-02-24
113793,2021-04-12
113815,2022-04-06
113820,2022-03-03
113830,2021-01-22
113845,2021-09-13
113917,2021-06-16
113932,2022-04-21
113978,2021-11-29
114008,2022-01-28
114054,2022-04-25
114072,2022-02-10
114078,2022-04-25
114079,2021-05-10
114180,2021-01-15
114184,2021-04-09
114222,2021-04-16
114250,2022-03-04
114276,2022-03-09
114281,2022-04-21
114291,2022-01-18
114306,2021-11-10
114325,2022-01-06
114362,2021-04-20
114389,2021-12-07
114554,2021-01-25
114646,2021-03-16
114693,2021-07-20
114740,2022-03-08
114743,2021-08-05
114750,2022-02-16
114784,2021-08-24
115003,2021-09-01
115089,2022-01-28
115109,2021-10-27
115127,2021-11-16
115171,2021-12-14
115270,2021-07-21
115281,2021-02-18
115443,2021-03-15
115492,2022-01-24
115501,2021-09-24
115510,2021-02-10
115532,2021-07-28
115589,2021-05-26
115596,2021-08-18
115687,2021-02-10
115779,2021-11-03
115937,2021-07-14
115966,2021-01-11
116043,2021-07-26
116055,2022-02-10
116107,2021-06-09
116115,2021-09-08
116185,2022-01-18
116209,2021-02-17
116237,2021-09-28
116281,2021-10-08
116283,2021-09-08
116323,2022-04-07
116363,2021-06-11
116383,2021-09-15
116435,2021-06-23
116485,2022-04-13
116598,2021-01-27
116618,2021-04-08
116740,2022-04-20
116813,2022-03-15
116822,2021-06-16
116943,2022-03-28
116962,2021-05-17
116982,2021-11-08
117003,2021-08-04
117009,2021-06-17
117088,2021-11-08
117127,2021-06-21
117153,2021-06-30
117221,2021-04-28
117234,2022-01-04
117244,2021-01-18
117254,2022-02-10
117274,2021-07-01
117345,2021-06-30
117387,2021-07-22
117432,2021-09-06
117471,2021-10-20
117492,2021-10-04
117511,2022-01-04
117556,2021-06-21
117622,2022-01-12
117694,2022-03-31
117757,2021-11-15
117786,2021-02-02
117915,2021-01-22
117950,2021-08-12
117954,2021-07-02
117969,2022-03-30
118013,2021-04-22
118063,2022-04-25
118069,2021-11-01
118087,2021-09-14
118130,2021-10-11
118163,2021-03-12
118182,2021-09-01
118231,2021-05-18
118281,2021-12-08
118339,2021-07-19
118340,2021-09-13
118358,2021-06-09
118365,2021-08-31
118390,2021-05-12
118393,2021-11-23
118417,2021-03-02
118429,2021-10-14
118443,2021-09-24
118483,2022-02-16
118495,2021-05-04
118554,2021-05-14
118557,2021-08-25
118565,2021-05-20
118567,2021-01-18
118582,2021-11-03
118655,2021-10-08
118677,2021-07-29
118687,2021-02-18
118737,2021-07-07
118772,2021-04-27
118789,2021-12-09
118850,2021-02-10
118925,2022-02-17
118955,2021-12-13
118970,2021-08-11
119069,2021-07-05
119104,2021-09-29
119157,2021-08-05
119216,2021-08-09
119249,2021-01-28
119301,2021-02-17
119322,2021-06-23
119325,2021-05-06
119368,2021-01-11
119401,2021-08-10
119437,2021-06-03
119476,2021-08-18
119478,2021-12-09
119507,2021-08-04
119517,2021-07-23
119525,2022-04-19
119539,2021-07-14
119544,2021-09-03
119558,2021-10-21
119626,2021-05-03
119635,2021-12-23
119649,2021-06-04
119654,2021-08-20
119707,2022-01-05
119774,2021-11-10
119791,2021-07-07
119861,2021-02-03
119866,2021-07-26
119876,2021-08-19
119911,2022-03-07
119942,2021-11-12
120061,2021-07-06
120186,2021-04-13
120187,2021-08-24
120219,2021-04-05
120381,2021-06-01
120393,2021-05-17
120593,2021-12-02
120679,2021-12-01
120712,2021-07-12
120757,2022-01-20
120794,2021-12-10
120798,2022-04-25
120835,2021-08-17
120844,2021-05-19
120905,2021-04-13
121025,2021-09-27
121066,2021-06-30
121113,2021-08-02
121153,2021-10-13
121154,2021-02-18
121190,2021-12-20
121214,2021-09-17
121265,2022-04-19
121313,2021-04-28
121366,2021-03-04
121371,2021-08-06
121400,2021-07-02
121425,2021-11-17
121477,2021-10-22
121549,2021-06-02
121594,2021-03-22
121653,2021-11-24
121744,2021-04-29
121751,2021-10-27
121847,2021-07-26
121858,2021-05-11
121863,2021-09-08
121872,2022-03-15
121939,2021-08-03
121950,2021-06-03
122003,2021-12-07
122013,2021-06-30
122014,2021-08-25
122084,2021-04-08
122221,2022-04-25
122229,2021-09-15
122231,2021-09-14
122274,2022-03-08
122277,2021-05-11
122302,2022-03-04
122305,2021-07-21
122336,2021-12-16
122345,2021-08-12
122350,2022-01-04
122355,2021-01-18
122367,2021-12-08
122383,2021-10-08
122392,2021-06-23
122429,2021-05-10
122456,2021-09-02
122652,2021-04-07
122656,2021-09-16
122705,2021-12-30
122753,2021-09-29
122781,2021-07-14
122828,2021-02-24
122847,2021-11-22
122921,2021-10-04
122924,2021-08-10
122944,2021-04-05
122952,2022-01-25
123112,2021-03-03
123188,2021-07-09
123200,2021-02-26
123225,2022-04-12
123295,2021-12-20
123347,2021-10-14
123355,2022-03-24
123416,2022-02-03
123419,2021-11-18
123510,2021-07-22
123520,2021-11-26
123556,2021-07-23
123577,2021-05-12
123629,2021-06-04
123670,2021-07-12
123716,2021-08-10
123902,2022-03-14
123917,2021-03-25
124001,2021-11-09
124025,2021-03-18
124055,2022-03-07
124068,2021-09-24
124093,2021-05-11
124214,2021-03-31
124245,2021-07-22
124286,2021-08-12
124339,2022-04-06
124342,2021-05-12
124349,2021-12-23
124354,2022-03-17
124371,2021-09-30
124417,2021-09-15
124463,2021-11-10
124596,2021-01-08
124600,2022-03-23
124628,2021-09-14
124685,2021-12-09
124750,2022-02-16
124759,2021-05-07
124820,2021-09-13
124883,2021-06-21
124887,2021-06-23
124970,2021-01-15
125004,2021-09-02
125019,2021-02-24
125026,2021-04-20
125028,2022-01-18
125035,2021-05-12
125077,2021-05-25
125105,2021-11-12
125106,2022-03-18
125114,2021-10-20
125131,2022-03-08
125194,2021-10-08
125224,2021-08-31
125236,2021-08-25
125265,2021-03-05
125281,2021-11-24
125305,2021-07-29
125327,2021-11-18
125356,2021-09-03
125523,2021-12-07
125579,2021-07-06
125584,2021-08-03
125592,2021-10-08
125779,2022-01-12
125806,2021-07-29
125810,2022-01-06
125820,2021-02-01
125821,2021-03-02
125834,2021-07-22
125841,2022-01-20
125847,2021-03-03
125867,2022-02-28
125879,2021-10-18
125894,2021-08-06
125949,2021-07-29
126028,2021-05-06
126102,2021-11-03
126134,2021-12-08
126146,2021-03-02
126172,2022-04-25
126173,2021-09-14
126256,2021-08-03
126310,2021-03-02
126410,2021-08-03
126422,2021-11-03
126546,2021-04-26
126585,2021-08-16
126625,2021-06-15
126703,2021-09-14
126734,2022-04-13
126763,2021-04-05
126770,2021-08-16
126784,2021-05-31
126853,2021-03-31
126868,2021-10-04
126921,2021-03-11
126928,2021-01-29
126931,2022-04-04
127111,2021-10-19
127127,2021-08-02
127148,2021-07-07
127152,2021-05-06
127182,2021-09-03
127191,2021-09-28
127307,2021-08-16
127332,2021-05-24
127340,2021-09-23
127443,2021-11-26
127591,2021-09-27
127660,2021-04-16
127830,2021-07-14
127878,2022-01-27
128017,2022-02-10
128023,2021-04-15
128143,2021-12-08
128151,2021-01-11
128160,2021-04-21
128165,2021-09-03
128176,2021-10-08
128184,2021-04-26
128252,2022-01-18
128274,2021-09-06
128427,2021-07-21
128438,2021-04-13
128537,2022-03-14
128549,2021-08-10
128581,2021-03-29
128583,2021-06-04
128631,2021-05-17
128677,2021-08-18
128772,2021-06-02
128844,2022-03-07
128847,2021-02-02
128851,2021-01-19
128880,2022-04-21
128925,2021-07-07
128943,2022-01-24
128948,2021-09-22
128988,2021-06-14
129047,2021-12-24
129079,2021-03-23
129084,2021-01-15
129146,2021-09-13
129179,2021-04-16
129183,2021-11-05
129233,2022-03-18
129449,2021-02-23
129493,2021-08-17
129526,2021-12-28
129541,2021-11-15
129547,2021-08-06
129586,2022-01-05
129637,2021-11-24
129647,2021-07-23
129655,2021-07-13
129681,2021-08-09
129689,2021-12-23
129736,2021-07-02
129770,2021-07-02
129772,2021-03-23
129806,2022-04-08
129831,2021-11-02
129838,2021-08-16
129860,2021-10-08
129966,2022-01-17
130032,2021-04-21
130044,2021-04-29
130045,2021-08-05
130110,2022-02-28
130134,2021-03-18
130191,2022-03-03
130203,2022-01-28
130217,2021-11-25
130233,2022-04-25
130242,2022-04-25
130254,2021-07-06
130302,2021-11-02
130340,2021-04-07
130373,2021-04-28
130401,2021-11-22
130473,2021-10-04
130494,2021-02-03
130675,2021-11-05
130710,2021-05-24
130762,2021-08-10
130763,2022-04-12
130766,2021-09-21
130794,2022-01-06
130831,2022-04-07
130896,2022-02-14
130924,2021-02-02
130932,2022-02-18
130962,2021-05-07
130970,2021-08-25
130978,2021-07-12
131177,2022-04-22
131190,2021-04-19
131256,2022-04-20
131262,2021-09-24
131416,2021-06-29
131426,2022-03-14
131470,2022-03-28
131491,2021-06-23
131525,2022-03-14
131552,2021-05-31
131668,2022-04-25
131715,2021-10-27
131739,2021-11-05
131794,2021-10-21
131839,2021-11-19
131840,2021-07-12
131853,2021-05-31
131855,2021-09-23
131857,2022-03-21
131872,2021-01-11
131879,2021-06-14
131916,2022-03-24
131939,2021-09-16
131942,2021-07-15
131947,2021-07-21
131979,2021-10-21
132003,2021-06-25
132009,2021-08-05
132011,2021-06-22
132025,2022-02-17
132232,2021-03-29
132256,2021-11-22
132258,2022-01-12
132280,2021-05-19
132300,2021-01-18
132362,2021-07-16
132471,2021-08-24
132516,2021-05-25
132637,2021-09-07
132694,2022-01-31
132728,2022-04-01
132746,2022-04-11
132750,2021-02-02
132770,2021-09-03
132813,2021-05-05
132826,2022-04-25
132829,2022-01-18
132846,2021-12-02
132855,2022-01-06
132875,2021-06-30
132944,2021-09-09
132953,2021-11-10
132977,2022-01-25
132982,2022-01-10
132985,2021-10-12
133051,2022-03-02
133064,2021-05-14
133078,2021-11-24
133096,2021-07-20
133113,2022-01-20
133114,2021-05-24
133192,2021-12-08
133200,2022-01-20
133211,2021-08-24
133272,2021-10-05
133298,2021-09-20
133323,2021-11-15
133357,2022-01-27
133404,2021-10-01
133417,2021-05-06
133428,2021-10-28
133432,2021-06-21
133534,2021-07-19
133665,2022-04-21
133799,2021-05-10
133853,2021-01-28
133857,2021-07-05
133873,2021-12-27
133879,2022-03-08
133880,2021-12-21
133895,2021-06-22
133905,2021-03-05
